,name,location,about,tags,overallRating,overallRatingCnt
439,Deepavali Celebrations,,"You know Deepavali is around the corner when the lights come up along Serangoon Road, the major thoroughfare that runs through Little India. An already bustling area becomes extra busy with Deepavali Bazaars selling all sorts of traditional Hindu decorations, snacks and knick-knacks. Weekends also see some special programming and performances, so look out for that. The festival of lights usually takes place around October or November - expect heavy human and car traffic as many visit to take in the festive atmosphere and the impressive street light up.",Cultural Events,4.0,15
440,Mandai Track 15,"451 Mandai Road Mandai Camp 15, Singapore 729753 Singapore",,Biking Trails,5.0,6
441,South Bridge Road,,,Historic Walking Areas,4.5,12
442,Army Museum of Singapore,"520 Upper Jurong Road, Singapore 638367 Singapore",,Military Museums,4.0,31
443,Resorts World Theater,"8 Sentosa Gateway Resorts World Sentosa Resorts World Sentosa, Singapore 098269 Singapore",,Theaters,4.5,6
444,Singapore Island Cruise &amp; Ferry Services,,The first and original trusted company in Singapore to provide daily scheduled ferry services to the St John's and Kusu Island. Private and commercial charters are also available upon request. Please contact us for more information.,Ferries,3.5,14
445,Tokyu Hands,"3 Gateway Drive Westgate Floor 01 Unit 36 37, Singapore 608532 Singapore",,Speciality &amp; Gift Shops,3.0,31
446,Arulmigu Velmurugan Gnanamuneeswarar Temple,"50 Rivervale Crescent Sengkang, Singapore 545029 Singapore",,Religious Sites,4.5,5
447,Empress Lawn,"10 Empress Pl, Singapore 179555 Singapore",,Parks • Gardens,3.5,12
448,Singapore Chinese Cultural Centre,"1 Straits Boulevard Singapore Chinese Cultural Centre, Singapore 018906 Singapore",,Civic Centres,4.0,6
449,STPI – Creative Workshop &amp; Gallery,"41 Robertson Quay #02-01, Singapore 238236 Singapore","Since 2002, the STPI has pushed the technical and aesthetic frontiers of print- and paper-making, by creating limited-edition prints and unique art works on paper at its unique and well-equipped facility.",Art Galleries • Art Museums,4.5,12
450,MOE Heritage Centre,"402 Commonwealth Drive, Singapore 149599 Singapore",,Speciality Museums,4.0,4
451,MAD Museum of Art &amp; Design,"10 Tanglin Road #01-01/02-01, Singapore 247908 Singapore","MAD, or, Museum of Art &amp; Design Singapore, is a stand alone local establishment that is both museum with exhibitions of unique objectives and gallery featuring accessibility to some of the most exclusive pieces of art. Opened in 2009 by Ms. Jasmine Tay, MAD is the first private museum in Singapore to show influential and usually inaccessible pieces of contemporary art to the general public through its 2-storey 19,000 sq. ft. space. Now located along Tanglin Road, MAD has hosted a myriad range of prestigious events which includes Mini Cooper’s Mini Clubman premier, Louis Vuitton’s invite-only launch and private workshops by Vacheron Constantine. Within the museum, is M.A.D. Bistro &amp; Whisky Lounge. Awarded 'Best Museum Dining' 2015/2016 by The Food Journal, M.A.D. Bistro serves up an international fusion menu that includes one of the best Shabu-Shabu options. The exclusive whisky lounge, a hide-away for art, whisky and cigar lovers, opens 'til late for a classy nightlife experience. In its 8th year running, MAD continues to use its friendly space to push art and design into the spotlight, in a way that is innovative, educational and friendly.",Art Galleries,4.5,16
452,Uniqlo,"181 Orchard Road Orchard Central #01-01, Singapore 238896 Singapore",,Department Stores,3.5,10
453,Cineleisure Orchard,"8 Grange Road Cathay Cineleisure  Orchard, Singapore 239695 Singapore",,Shopping Malls,3.0,29
454,Holland Village Shopping Centre,"211 Holland Avenue Holland Road Shopping Centre, Singapore 278967 Singapore",,Shopping Malls,3.0,19
455,Jubilee Walk,,,Scenic Walking Areas,4.0,7
456,Jurong Central Park,,,Parks,3.5,15
457,Albert Mall,"Albert St. Waterloo St., Singapore 189971 Singapore",,Points of Interest &amp; Landmarks,3.0,17
458,Sun Plaza,"30 Sembawang Drive Sun Plaza, Singapore 757713 Singapore",,Shopping Malls,3.5,11
459,Pearl's Hill City Park,,,Parks,3.5,16
460,Hong Lim Park,"43 North Canal Road, Singapore 059299 Singapore",,Parks,3.5,14
461,Woodlands Town Garden,"Woodlands Centre Road adjacent to Bukit Timah Expressway, Singapore 738927 Singapore",,Parks,3.5,12
462,ESPZEN Soccer School &amp; Academy,"200 Turf Club Road The Grandstand Opposite Giant Supermarket, Singapore 287994 Singapore","ESPZEN Soccer School caters for both Juniors (4-17 years old) and Adults (18 plus) JUNIOR TRAINING ESPZEN offers the highest quality football player development programs in Singapore. Creating an environment which is fun, yet stimulating &amp; challenging ensures that every child who comes to us, leaves having had a positive learning experience. We pride ourselves on our coaching team, with UEFA, English Football Association &amp; AFC qualified coaches. Kids from 4–17 yrs &amp; all abilities are welcome. Camps &amp; 1:1 sessions offered ADULT TRAINING ESPZEN’s internationally qualified Coaches offer a dedicated weekly training session for adult football players. This training does not include shuttles, or running laps, it is 100% football training using Small Sided games. Some games require players to work on passing skills in competitive scenarios, while others are more tactically focused. Players will improve core skills through the sheer number of touches that each game guarantees.",Sports Camps &amp; Clinics,5.0,6
463,Singapore Mobility Gallery,"1 Hampshire Road Land Transport Authority Block 1 Level 1, Singapore 219428 Singapore","Prior booking is needed three working days in advance for all visits. The Singapore Mobility Gallery provides a behind-the-scenes look at how LTA plans, designs and builds our transport system while balancing efficiency, liveability and inclusivity as it leverages technology for smarter urban mobility. Look forward to a host of interactive activities and multi-sensory exhibits, such as taking on the role of a transport planner and trying their hands at planning an efficient and sustainable transport network and experience the work of public transport workers through Augmented Reality (AR) and Virtual Reality (VR) experiential activities. The Singapore Mobility Gallery is designed to be self-guided and non-linear, allowing free exploration at your own pace. For your visit, we suggest that you cater 60 – 90 minutes for the most optimal experience.",Speciality Museums,4.0,8
464,Xtreme Skate Park,"1 East Coast Terrace (Behind Car Park F, Singapore 458912 Singapore","If kicking, pushing and coasting like a beautiful rebel without a cause is your thing, then the Xtreme SkatePark in East Coast is where the good vibes are.",Sports Complexes,5.0,4
465,1965 Craft Beer,"505 Beach Road Golden Mile Food Centre 01-62 Golden Mile Food Centre, Singapore 199583 Singapore",,Breweries,4.5,8
466,Thomson Nature Park,,,Nature &amp; Wildlife Areas,4.5,11
467,Masjid Bencoolen,"42 Bencoolen Street, Singapore 189626 Singapore",,Religious Sites,3.5,16
468,Shimano Cycling World,"6 Stadium Boulevard # 01 Kallang Netball Centre 02 Right next to the Singapore Sports Museum and Sports Hub Visitor Centre, Singapore 397797 Singapore",,Speciality Museums,4.0,17
469,Pandora,,,Airport Shops,4.0,5
470,Museum @ My Queenstown,"Blk 46-3 Commonwealth Drive #01-388, Singapore 140063 Singapore","My Community is a non-profit organisation which researches and documents social memories, celebrates community arts and heritage, and champions greater community involvement in cultural management and urban governance. Every community has a story to tell. Through heritage walks, cultural mapping &amp; community museums, we wish to narrate the endearing story of the common people, celebrate the little things which make our neighbourhood special, and reconnect individuals to the social network in the community.",History Museums,4.0,5
471,Golden Mile Tower,"6001 Beach Road Golden Mile Tower District 07, Opposite of Kampong Glam Community Club and beside Golden Mile Complex, Singapore 199589 Singapore",,Points of Interest &amp; Landmarks,2.5,6
472,Wesley Methodist Church,"5 Fort Canning Road Wesley Methodist Church Singapore 179493, Singapore 179493 Singapore",,Missions • Religious Sites • Churches &amp; Cathedrals,4.0,8
473,Cenotaph,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",,Monuments &amp; Statues,3.5,34
474,Former Empress Place Building,"1 Empress Place Empress Place Building, Singapore 179555 Singapore","View the exterior of the Empress Place Building with timber-louvered windows and a pitched clay tile roof. Inside, you’ll see stately rooms with high ceilings, handsome Doric columns and exquisite plaster mouldings and cornices.This historic 19th-century building is also home to the Asian Civilizations Museum.",History Museums,4.0,15
475,Gucci,,,Airport Shops,3.5,3
476,Istana Heritage Gallery,"35 Orchard Road Istana Istana Park, Singapore 238823 Singapore",,History Museums,4.0,5
477,Palais Renaissance,"390 Orchard Road Palais Renaissance, Singapore 238871 Singapore","Palais Renaissance, or Palais (pronounced pa-lay) for short, is located at the premium shopping district of Orchard Road. Palais has established itself as an exclusive shopping destination which provides an intimate respite amidst the hustle and bustle of the city. With over 30 shops and a retail space of about 50,000 square feet, it is a treasure trove for the who's who of the local and expatriate community, trendsetters and well-heeled travellers who traverse the hallways for a taste of luxury living and deluxe lifestyle offerings. Housing an assembly of exclusive boutiques and choice names, Singapore's definitive address to luxurious offerings can be found Only at Palais.",Shopping Malls,3.5,15
478,Changi Sailing Club,"32 Netheravon Road Changi Sailing Club, Singapore 508508 Singapore",,Sports Camps &amp; Clinics,4.5,34
479,The First Generation,,,Religious Sites • Monuments &amp; Statues,4.0,13
480,Jacob Ballas Children's Garden,"481 Bukit Timah Road, Singapore 259769 Singapore",,Playgrounds,4.0,20
481,Singapore International Festival of Arts,"1 Old Parliament Lane The Arts House At the Old Parliament, Singapore 179429 Singapore","Into its 41st edition, Singapore International Festival of Arts 2018 presents diverse and distinctive work from Singapore and around the world that ignites the imagination, inspires myriad audiences, and provokes reflection and dialogue. Get ready for a plethora of theatre, music, dance, literary and visual arts at the pinnacle arts festival that will happen over three weekends from 26 April to 12 May, and across over ten performance spaces, including the Festival House, located at The Arts House.",Cultural Events,4.5,12
482,Mosque Street,,,Historic Sites • Neighborhoods,3.5,15
483,Boulder+,"12 Kallang Avenue #03-17 Aperia, Singapore 339511 Singapore","boulder+ is custom built by leading wall manufacturers Walltopia, and is Singapore's only gym with a top out. We promise something enjoyable, exciting and thought-provoking for everyone regardless of your bouldering ability. So come on down and sample some...we have more than 100 problems waiting for you!",Sports Complexes,4.5,5
484,Delfi Orchard,"402 Orchard Road Delfi Orchard, Singapore 238876 Singapore","Celebrate life's occasions at Delfi Orchard Conveniently located along Singapore premiere shopping belt, Delfi Orchard offers an array of distinctive boutiques and tailored services for all the special moments in your life. With around 60,000 sq ft of retail space, every turn and corner brings you one-of-a-kind experiences that will delight you every time. From adding a dash of style to your stunning outfit to creating an exquisite piece of jewellery for your wedding to picking up a unique gift for a party, you can expect all these and more at Delfi Orchard. After a day of retail therapy, regain your sparkle and pamper yourself from head-to-toe at the many relaxing spas and salons. Drop in at Delfi Orchard, where all the little luxuries define life's significant moments.",Shopping Malls,3.5,12
485,Rochor Canal,"1 Rochor Road Rochor Centre, Singapore 180001 Singapore",,Bodies of Water,3.5,16
486,Ann Siang Hill,,,Points of Interest &amp; Landmarks,4.0,12
487,Coleman Street,,,Neighborhoods • Historic Walking Areas • Scenic Walking Areas,4.0,9
488,Kreta Ayer Square,,,Scenic Walking Areas,3.0,9
489,The Verge Shopping Mall,"2 Serangoon Road The Verge Intersection of Serangoon Road and Sungei Road, Singapore 218227 Singapore","The Verge is the first modern shopping mall in the Little India precinct in Singapore. With the completion of two new Downtown Line MRT stations, Rochor and Jalan Besar, getting to the Verge will be even more convenient! Shoppers will have easy access to the many new tenants at The Verge Shopping Mall such as Sheng Siong supermarket, cafes, florists, travel agencies, beauty salons and music stores!",Shopping Malls,3.5,12
490,Al-Abrar Mosque,"192 Telok Ayer Street, Singapore 068635 Singapore",,Religious Sites,3.0,24
491,Masjid Haji Muhammad Salleh,"37 Palmer Road Masjid Hj Muhammad Salleh, Singapore 079424 Singapore",,Points of Interest &amp; Landmarks,4.0,10
492,Chesed-El Synagogue,"2 Oxley Rise Chesed-El Synagogue, Singapore 238693 Singapore",,Architectural Buildings • Religious Sites,4.5,8
493,Singapore Hong San See,"31 Mohamed Sultan Road, Singapore 238975 Singapore","Built between 1908 and 1913, the Hong San See temple, located along Mohamed Sultan Road, was originally located at Tras Street in Tanjong Pagar in 1829. Established by the Hokkien people of the Lam Ann clan, this temple is dedicated to Guang Ze Zun Wang, the God of Fortune. It later relocated to Mohamed Sultan road, and the temple now draws worshippers from different dialect groups.",Religious Sites,4.0,15
494,The Cathay Gallery,"2 Handy Road The Cathay, Singapore 229233 Singapore",,Art Galleries,4.0,10
495,Alkaff Bridge,"1 Havelock Road, Singapore 059724 Singapore",,Bridges,4.5,8
496,Keramat Sultan Iskandar Shah,"Fort Canning Park Fort Canning Hill, Singapore 179037 Singapore",,Historic Sites • Points of Interest &amp; Landmarks • Cemeteries,3.5,4
497,Sri Siva-Krishna Temple,"31 Marsiling Rise, Singapore 739127 Singapore",,Points of Interest &amp; Landmarks,4.0,11
498,The Rink at JCube,"2 Jurong East Central 1 Jcube Level 3, JCube, Singapore 609731 Singapore",,Sports Complexes,4.0,8
499,Park Mall,"9 Penang Road Park Mall, Singapore 238459 Singapore","With five levels and 77 shops in total, including a number of cafes and restaurants, Park Mall is a distinctive and fancy shopping destination that’s perfect for furniture seekers looking for a centrepiece for their homes.",Shopping Malls,2.5,17
500,Dalhousie Obelisk,"1 Empress Place Empress Place Building, Singapore 179555 Singapore","It is believed that the design was modelled after “Cleopatra’s Needle” on the Thames Embankment in London, which might explain the British influences in its tall, needle-like architectural structure.",Architectural Buildings,3.0,39
501,Fort Canning Lighthouse,"Fort Canning Park, Singapore 179037 Singapore",,Lighthouses,3.5,16
502,Alexandra Retail Centre (ARC),"460 Alexandra Road Psa Building, Singapore 119963 Singapore",,Shopping Malls,3.5,9
503,NUS Museum,"University Cultural Centre National University of Singapore 50 Kent Ridge Crescent, Singapore 119279 Singapore","The NUS Art Museum aims to create an enriching experience of the social history and the art of Asia to NUS and the nation through strategic acquisitions, exhibitions and research of an extensive range of artworks.",Speciality Museums,3.5,12
504,Floral Clock,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",,Monuments &amp; Statues,4.0,11
505,Benjamin Sheares Bridge,,,Bridges,3.5,17
506,The Grandstand,"200 Turf Club Road The Grandstand, Singapore 287994 Singapore",,Shopping Malls,4.0,22
507,Read Bridge　(Malacca Bridge),"1B Clarke Quay, Singapore 179023 Singapore",,Bridges,3.5,30
508,Punggol Plaza,"168 Punggol Field Punggol Plaza, Singapore 820168 Singapore",,Shopping Malls,2.5,3
509,Uniqlo,"80 Airport Boulevard Changi Airport Terminal 1 Departure Transit Lounge West, #02-23 Terminal 1 Changi Airport, Singapore 819642 Singapore",,Airport Shops,4.0,8
510,Lot One Shoppers' Mall,"21 Choa Chu Kang Avenue 4 Lot One, Singapore 689812 Singapore",,Shopping Malls,3.5,9
511,UE Square,"81 Clemenceau Avenue Ue Square, Singapore 239917 Singapore",,Shopping Malls,3.0,13
512,Eurasian Heritage Gallery,"139 Ceylon Road Eurasian Community House Eurasian Community House, Singapore 429744 Singapore",,History Museums,4.0,13
513,Hari Raya Light Up,,"Hari Raya Aidilfitri sees the end of a 30-day fast by Muslims and is celebrated with a lot of festivity! Muslims deck out their homes with colourful lights, and you'll find them headed to the Hari Raya Bazaars at Geylang Serai and Sultan Mosque in Kampong Glam to do some serious shopping for the celebrations, and it's a great opportunity to try traditional Malay food as well. Look out for families decked out in brightly coloured matching traditional garb as they go visiting their friends and relatives.",Cultural Events,4.0,9
514,Cocoa &amp; Co,,"Cocoa &amp; Co. is an exciting and vibrant confectionary concept designed for sweet lovers of all ages. Stocked with an unending array of well-known brands and an irresistible assortment of treats, there’s definitely a confection to satisfy any sweet tooth.",Airport Shops,3.5,11
515,The Heeren,"26 Orchard Rd, Singapore 238831 Singapore","""The Heeren, which means gentleman in Dutch, is aimed at the young and the fashionable. Situated in the heart of Orchard Road, Singapore’s main shopping belt, the mall boasts numerous youth-centric brands such as Levi’s, Venue Lab, Koi Nobori, Converse and Fossil. The fourth and fifth levels also boast vintage and quaint fashion shops. With a number of gourmet Japanese, Korean and American restaurants, you will be able to satiate your taste buds after a long day of shopping. The atmosphere is here is highly energetic, with popular music and videos being showcased on huge video screens on the facade.""",Shopping Malls,4.0,9
516,Jalan Besar Swimming Complex,"100 Tyrwhitt Road Jalan Besar Stadium, Singapore 207542 Singapore",,Sports Complexes,4.5,16
517,Puaka Hill,,,Lookouts,4.5,7
518,Masjid Angullia,"265 Serangoon Road Masjid Angullia Little India, Singapore 218099 Singapore",,Religious Sites,3.5,8
519,Children Little Museum,"42 Bussorah Street, Singapore 199460 Singapore",,Speciality Museums,3.5,27
520,Jelutong Tower,,,Observation Decks &amp; Towers,4.0,4
521,Compass One,"1 Sengkang Square Compass One, Singapore 545078 Singapore",,Shopping Malls,3.0,17
522,Thomson Plaza,"301 Upper Thomson Road Thomson Plaza, Singapore 574408 Singapore",,Shopping Malls,4.0,10
523,Sengkang Riverside Park,,,Parks,3.5,11
524,Youth Olympic Park,"20 Raffles Avenue The Float @ Marina Bay, Singapore 039805 Singapore",,Points of Interest &amp; Landmarks • Scenic Walking Areas,3.5,10
525,Black Statue of Raffles,"9 Empress Place Victoria Theatre Victoria Theatre and Concert Hall, Singapore 179556 Singapore",,Monuments &amp; Statues,3.5,29
526,Ms Redhill,"Redhill Wetmarket #01-112, Singapore 150077 Singapore",,Farmers Markets,5.0,5
527,Indian National Army Monument,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",,Monuments &amp; Statues,3.0,18
528,Ray Bay,"8 Sentosa Gateway Resorts World Sentosa Adventure Cove Waterpark, Singapore 098269 Singapore",,Aquariums,5.0,4
529,Risis,,,Airport Shops,4.0,4
530,Tanglin Halt Food Centre,"1A Commonwealth Drive Church of the Blessed Sacramnt, Singapore 149603 Singapore",,Flea &amp; Street Markets,3.5,6
531,Design Orchard,"250 Orchard Road, Singapore 238905 Singapore","Located along Orchard Road—Singapore’s premier shopping belt—Design Orchard is more than just a retail space. The space fulfils a trinity of roles— vibrant events space and a dazzling showcase of some of Singapore’s most beloved brands, lauded designers and talented newcomers. Take a step inside, and discover world-class designs proudly made in Singapore and shop from the best in local designs!",Shopping Malls,4.5,8
532,Singapore Repertory Theatre,"20 Merbau Road KC Arts Centre - Home of the SRT, Singapore 239035 Singapore","The Singapore Repertory Theatre continues to establish ties with some of the best theatre practitioners in the world, adding a new dimension to the local arts industry and elevating it to the world stage.",Theaters,4.5,7
533,Istana Woodneuk,"766 Tyersall Avenue Holland Road and Tyersall Road, Singapore 257699 Singapore",,Points of Interest &amp; Landmarks • Historic Walking Areas,4.0,6
534,Singapore Momentum Sculpture,"2 Finlayson Green Ascott Singapore Raffles Place, Singapore 049247 Singapore",,Monuments &amp; Statues,3.5,7
535,Siang Cho Keong Temple,"66 Amoy Street, Singapore 069886 Singapore",,Religious Sites,3.5,6
536,Church of Saint Joseph,"620 Upper Bukit Timah Road, Singapore 678116 Singapore",,Churches &amp; Cathedrals,4.0,8
537,DBS Asia Treasures Lounge,,,Airport Lounges,4.0,7
538,Opera Gallery,"2 Orchard Turn Ion Orchard # 04-15 ION Orchard, Singapore 238801 Singapore","Founded by Gilles Dyan in Paris in 1994 and now internationally established with offices in Paris, London, Geneva, Monaco, New York, Miami, Singapore, Hong Kong, Seoul and Dubai, Opera Gallery is one of the leading dealers in modern and contemporary American, European and Asian art with museum as well as private clients worldwide. Offering artworks of exceedingly high quality the gallery has a reputation for excellence, integrity and discretion that it continues to earn by providing a high level of service to understandably demanding clients. Opera Gallery will assess quality and authenticity, evaluate, exhibit, care for, buy and sell art principally for the benefit of the collector.",Art Galleries,4.0,9
539,The River Merchants,,,Religious Sites • Monuments &amp; Statues,3.5,10
540,Jinrikisha Station,"1 Neil Rd, Singapore 088804 Singapore",,Historic Sites • Points of Interest &amp; Landmarks • Architectural Buildings,4.0,5
541,Tampines 1,"10 Tampines Central 1, Singapore 529536 Singapore",,Shopping Malls,3.5,13
542,Police Heritage Centre,"28 Irrawaddy Road New Phoenix Park, Singapore 329560 Singapore",,History Museums,3.5,7
543,Harrods,,,Airport Shops,3.5,3
544,Deck Art Galery,"116 Prinsep Street, Singapore 188665 Singapore",,Points of Interest &amp; Landmarks,4.0,9
545,Homage To Newton,"80 Chulia Street Singapore UOB Plaza Courtyard, Singapore 048624 Singapore",,Monuments &amp; Statues,3.5,10
546,The Substation,"45 Armenian Street, Singapore 179936 Singapore","Located in the city’s civic district, The Substation is Singapore’s first independent contemporary arts centre.",Theaters,3.5,11
547,Supertree Observatory,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore","Supertree Observatory, in addition to OCBC Skyway, provides greater accessibility for visitors to enjoy scenic views of the Marina Bay area and the lush surroundings of Gardens by the Bay. Located at the canopy of the tallest Supertree at Supertree Grove, visitors can soak in unblocked cityscape views at our open-air rooftop deck, enjoy light refreshments and try out immersive digital learning experiences inside our observatory space.",Observation Decks &amp; Towers,4.5,4
548,Church of St Teresa,"510 Kampong Bahru Road, Singapore 099446 Singapore",,Religious Sites • Churches &amp; Cathedrals,4.0,11
549,WTA Finals,"2 Stadium Walk Kallang Indoor Stadium National Stadium, Singapore 397691 Singapore","The BNP Paribas WTA Finals Singapore presented by SC Global is the crown jewel event of the Women's Tennis Association (WTA). Singapore won the bid to host the event for five years, and 2017 will be the fourth edition of the WTA Finals. It will be held from 22-29 October 2017 at the state-of-the-art S$1.3 billion Singapore Sports Hub. PLAYERS The WTA Finals features the Top 8 female Singles players and Top 8 female Doubles teams of 2017 on the Porsche Race to Singapore leaderboard. PRIZE The Top 8 Singles players and Top 8 Doubles teams come to Singapore to compete for a record US$7 million in prize money and the prestigious Billie Jean King and Martina Navratilova trophies. Both trophies are named after notable tennis players who have made their mark in the history of women's tennis. TYPE OF COURT The tournament is played on Centre Court, an indoor hard court located in the Singapore Indoor Stadium.",Sporting Events,4.0,13
550,Orchard Road Presbyterian Church,"3 Orchard Rd, Singapore 238825 Singapore",,Missions • Religious Sites • Churches &amp; Cathedrals,3.5,9
551,A Vintage Tale - World’s Wardrobe,"277 Joo Chiat Road 02-01, Singapore 427531 Singapore",,Antique Shops,5.0,5
552,Cheong Ann Watch Maker,"No 4 Lim Tua Tow Road Teck Chye Gardens Serangoon, Singapore 547714 Singapore",,Antique Shops,5.0,5
553,Visual Art Trails - Singapore River,,"View works from big name sculpture masters like Salvador Dali, Henry Moore and Fernando Botero .",Historic Walking Areas,4.0,5
554,The Cat Museum,"781A North Bridge Road #02-01, Singapore 198749 Singapore",,Speciality Museums,3.5,17
555,Art Porters Gallery,"64 Spottiswoode Park Road, Singapore 088652 Singapore",,Art Galleries,4.5,7
556,PetalClouds,,"The centerpiece of T4, Petalclouds, is a grand-scale kinetic sculpture. It consists of six structures suspended 200m across the Central Galleria and it can be seen from the Departure Check-in Hall, Transit Area and Arrival Hall. Its movement is synchronised to lighting and music. Petalclouds is a complex amalgamation of art, music and science and delivers an enthralling and magical experience.",Points of Interest &amp; Landmarks,4.0,6
557,DFS Wines &amp; Spirits,"Airport Boulevard, Changi Airport Terminal 3 (Towards a &amp; B Gates), Singapore 918142 Singapore","With over 420 DFS and T Galleria stores worldwide, our boutiques present a carefully selected assortment of over 700 luxury brands, premier retail environments, highly personalized services and unique experiences tailored to the specific needs of travelers. Our selection covers all three pillars of luxury: Beauty, Fragrances &amp; Well-being；Fashion, Watches, Jewelry &amp; Accessories; Spirits, Wine, Tobacco, Food and Gifts. Your journey begins with DFS.",Airport Shops,4.5,9
558,White Space Art Asia,"79 Chay Yan Street Tiong Bahru Estate #01-26 Tiong Bahru Estate, Singapore 160079 Singapore",,Art Galleries,5.0,3
559,Wak Hai Cheng Bio Temple,"30B Phillip Street Wan Hai Cheng Bio Temple, Singapore 048696 Singapore",,Religious Sites,4.0,12
560,White Sands,"1 Pasir Ris Central Street 3 #05-07 White Sands, Singapore 518457 Singapore",,Shopping Malls,4.0,7
561,Affordable Art Fair,"1 Republic Boulevard The Pit Building, Singapore 038975 Singapore","For those who want a taste of owning artwork, check out the Affordable Art Fair. 'Affordable' here means that art prices are capped at SG$10,000, not quite pocket change but not completely unattainable either if you really want to own some art. It is a great opportunity for those in the know to spot and own upcoming art talent before they hit the big time (and big price tags).",Cultural Events,3.5,8
562,Man Fatt Lam Temple,"211 Bedok Rd, Singapore 468584 Singapore",,Religious Sites,4.0,2
563,Toh Garden,"11 Lorong Pasu, Singapore 699191 Singapore",Toh Garden is a commercial orchid farm spanning 5.4 hectares and producing a wide range of more than 200 varieties of premium quality tropical orchids locally and catering to orchid demand from Singapore’s tourism sector. The orchid farm is family run and has been in business for more than two decades. Toh Garden is the common destination for orchids lovers and orchid hunters visiting Singapore!,Farms • Gardens,4.0,3
564,Adidas,,,Airport Shops,4.0,3
565,Masjid Haji Mohd Salleh,"245 Geylang Road Masjid Muhammad Salleh, Singapore 389304 Singapore",,Religious Sites,3.5,5
566,Oh Chin Huat Hydroponic Farms,"14A Bah Soon Pah Road, Singapore 769970 Singapore",,Farms,3.5,4
567,The Bible House,"7 Armenian Street Bible House, Singapore 179932 Singapore",,Points of Interest &amp; Landmarks • Religious Sites,4.0,2
568,DBS Asia Treasures Lounge,,,Airport Lounges,4.5,4
569,Kampong Kapor Methodist Church,"1 Kampong Kapor Road Kampong Kapor Methodist Church, Singapore 208673 Singapore",,Churches &amp; Cathedrals,3.5,10
570,Amusement World,"50 Tanah Merah Ferry Road Tanah Merah Ferry Terminal Tanah Merah Ferry Terminal, Singapore 498833 Singapore",,Ferries,3.0,1
571,Alsagoff Arab School,"111 Jalan Sultan Madrasah Alsagoff Al-Arabiah, Singapore 199006 Singapore",,Historic Sites • Architectural Buildings • Educational sites,3.5,5
572,Old Bukit Timah Railway Station,,,Historic Sites • Points of Interest &amp; Landmarks,3.0,6
573,Library@Harbourfront,"1 Harbourfront Walk Vivo City, Singapore 098585 Singapore",,Libraries,5.0,3
574,Foundation Stone of the Monument of the Early Founders of Singapore,"1 Fullerton Square Fullerton Hotel The Pedestrian walkway opposite Fullerton Building, Singapore 049178 Singapore",,Points of Interest &amp; Landmarks • Monuments &amp; Statues,3.0,16
575,The Cocoa Trees,,"A chocolate lover's haven, The Cocoa Trees offers the widest range of international brands under its various retail outlets and concessionaires. Some of the famous brands it carries include M&amp;M's, Toblerone, Cote Dor and Ritter Sport. There is also a range of premium chocolates such as Leonidas and Neuhaus for the chocolate connoisseur. Be amazed by The Cocoa Trees interesting variety of chocolates that are right for every occasion.",Airport Shops,2.0,5
576,Singapore Polo Club,"80 Mount Pleasant Road Singapore Polo Club, Singapore 298334 Singapore","Founded in 1886, during Singapore's colonial past, the Club has a long and fascinating history. Set in acres of lush, tropical grounds, the Singapore Polo Club is a world apart from Singapore's bustling pace yet located just minutes from the heart of the city's hectic business and commercial centre. The main focus of the Club is of course polo and more generally, equestrian sports, but other sports activities and facilities are also well represented. Members can either keep their own polo ponies at the club stables, or alternatively lease ponies from the Club's own string. Beginners, or those wishing to hone their skills may sign up for polo lessons with the Club's resident pros. For those interested primarily in horse riding, you can participate in any of the Club's varied Riding Section programmes and activities including basic riding, competitive dressage as well as show jumping at various levels, either in one to one or group lessons with our qualified riding instructors.",Sports Complexes,3.5,6
577,Goshen Art Gallery,"13 Stamford Road Capitol Piazza #b2-46/47, Singapore 178905 Singapore",Goshen Art Gallery is one of Singapore's oldest art gallery. Come to see the private collection of art in Singapore and learn from the owners what it takes to own a piece of investment art. Register for a curatorial tour.,Art Galleries,5.0,3
578,Tan Kim Seng Fountain,,,Points of Interest &amp; Landmarks • Monuments &amp; Statues • Fountains,3.0,9
579,Masjid Kampong Delta,"10 Delta Avenue Masjid Kampong Delta, Singapore 169831 Singapore",,Religious Sites,4.0,3
580,Sultan's Gate,,,Historic Sites • Points of Interest &amp; Landmarks,2.5,5
581,Fidgets,"200 Turf Club Road The Grandstand 04-05 Turf City, Singapore 287994 Singapore",,Playgrounds,3.5,8
582,Masjid Falah,"15 Cairnhill Road #01-01, Singapore 229650 Singapore",,Religious Sites,4.5,6
583,Pagode de 7 étages,"1 Chinese Garden Road Chinese Garden, Singapore 619795 Singapore",,Points of Interest &amp; Landmarks • Architectural Buildings • Lookouts,4.0,5
584,Rain Oculus,"10 Bayfront Avenue Marina Bay Sands Marina Bay Sands Singapore, Singapore 018956 Singapore",,Points of Interest &amp; Landmarks,3.5,5
